 Unit,Property,Floorplan,Beds,Baths,Min Rent,Max Rent,Ready On,Active On,Lock ID,Waitlist Unit,Model Unit 
"218","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"814","Waterford Landings","A2","1","1","1100","1100","N/A","N/A","","No","No" 
"704","Waterford Landings","B1","2","2","1313","1313","N/A","N/A","","No","No" 
"507","Waterford Landings","B1","2","2","1325","1325","N/A","N/A","","No","No" 
"606","Waterford Landings","A2","1","1","1086","1086","N/A","N/A","","No","No" 
"618","Waterford Landings","A2","1","1","1107","1107","N/A","N/A","","No","No" 
"702","Waterford Landings","A2","1","1","1086","1086","N/A","N/A","","No","No" 
"706","Waterford Landings","A2","1","1","1086","1086","N/A","N/A","","No","No" 
"714","Waterford Landings","A2","1","1","1086","1086","N/A","N/A","","No","No" 
"902","Waterford Landings","A2","1","1","1105","1105","N/A","N/A","","No","No" 
"918","Waterford Landings","A2","1","1","1086","1086","N/A","N/A","","No","No" 
"907","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1219","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1211","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1209","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"705","Waterford Landings","A2","1","1","1107","1107","N/A","N/A","","No","No" 
"1119","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1101","Waterford Landings","A2","1","1","1086","1086","N/A","N/A","","No","No" 
"1112","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1108","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1107","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1104","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1308","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"1307","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"1311","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"915","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1404","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"819","Waterford Landings","B1","2","2","1320","1320","N/A","N/A","","No","No" 
"1412","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"1414","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"1503","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"1507","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"1508","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"816","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"811","Waterford Landings","B1","2","2","1310","1310","N/A","N/A","","No","No" 
"1514","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"1522","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"715","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"708","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1303","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"1421","Waterford Landings","B1.2","2","2","1350","1350","N/A","N/A","","No","No" 
"707","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"616","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"105","Waterford Landings","C1","3","2","1405","1405","N/A","N/A","","No","No" 
"114","Waterford Landings","C1","3","2","1405","1405","N/A","N/A","","No","No" 
"306","Waterford Landings","C1","3","2","1427","1427","N/A","N/A","","No","No" 
"302","Waterford Landings","C1","3","2","1430","1430","N/A","N/A","","No","No" 
"314","Waterford Landings","C1","3","2","1450","1450","N/A","N/A","","No","No" 
"607","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"405","Waterford Landings","C1","3","2","1405","1405","N/A","N/A","","No","No" 
"516","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"513","Waterford Landings","C1","3","2","1405","1405","N/A","N/A","","No","No" 
"1202","Waterford Landings","C1","3","2","1477","1477","N/A","N/A","","No","No" 
"1206","Waterford Landings","C1","3","2","1440","1440","N/A","N/A","","No","No" 
"1214","Waterford Landings","C1","3","2","1405","1405","N/A","N/A","","No","No" 
"1213","Waterford Landings","C1","3","2","1405","1405","N/A","N/A","","No","No" 
"416","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1218","Waterford Landings","C1","3","2","1405","1405","N/A","N/A","","No","No" 
"317","Waterford Landings","C1","3","2","1415","1415","N/A","N/A","","No","No" 
"415","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"419","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"408","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"403","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"502","Waterford Landings","C1","3","2","1452","1452","N/A","N/A","","No","No" 
"320","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"315","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1602","Waterford Landings","A1.2","1","1","1015","1015","N/A","N/A","","No","No" 
"1606","Waterford Landings","A1.2","1","1","1015","1015","N/A","N/A","","No","No" 
"312","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"1605","Waterford Landings","A1.2","1","1","1015","1015","N/A","N/A","","No","No" 
"1701","Waterford Landings","A1.2","1","1","1015","1015","N/A","N/A","","No","No" 
"1702","Waterford Landings","A1.2","1","1","1015","1015","N/A","N/A","","No","No" 
"1705","Waterford Landings","A1.2","1","1","1015","1015","N/A","N/A","","No","No" 
"1706","Waterford Landings","A1.2","1","1","1015","1015","N/A","N/A","","No","No" 
"1709","Waterford Landings","A1.2","1","1","1015","1015","N/A","N/A","","No","No" 
"309","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"304","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"307","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"107","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"115","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"110","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"116","Waterford Landings","B1","2","2","1313","1313","N/A","N/A","","No","No" 
"208","Waterford Landings","B1","2","2","1305","1305","N/A","N/A","","No","No" 
"303","Waterford Landings","B1","2","2","1370","1370","N/A","N/A","","No","No" 
"214","Waterford Landings","B1","2","2","1310","1310","N/A","N/A","","No","No" 
"1306","Waterford Landings","C1.2","3","2","1455","1455","N/A","N/A","","No","No" 
"1401","Waterford Landings","C1.2","3","2","1455","1455","N/A","N/A","","No","No" 
"1402","Waterford Landings","C1.2","3","2","1455","1455","N/A","N/A","","No","No" 
"1406","Waterford Landings","C1.2","3","2","1455","1455","N/A","N/A","","No","No" 
"1416","Waterford Landings","C1.2","3","2","1455","1455","N/A","N/A","","No","No" 
"1423","Waterford Landings","A3","1","1","1232","1232","N/A","N/A","","No","No" 
"1523","Waterford Landings","A3","1","1","1232","1232","N/A","N/A","","No","No" 
"1515","Waterford Landings","C1.2","3","2","1455","1455","N/A","N/A","","No","No" 
"1509","Waterford Landings","A3","1","1","1232","1232","N/A","N/A","","No","No" 
"1510","Waterford Landings","A3","1","1","1232","1232","N/A","N/A","","No","No" 
"1519","Waterford Landings","C1.2","3","2","1455","1455","N/A","N/A","","No","No" 
"1319","Waterford Landings","C1.2","3","2","1455","1455","N/A","N/A","","No","No" 
"1424","Waterford Landings","A3","1","1","1232","1232","N/A","N/A","","No","No" 
"1019","Waterford Landings","B1-P","2","2","1456","1456","N/A","N/A","","No","No" 
"1207","Waterford Landings","B1-P","2","2","1450","1450","N/A","N/A","","No","No" 
"1324","Waterford Landings","A3","1","1","1232","1232","N/A","N/A","","No","No" 
"1004","Waterford Landings","B1-P","2","2","1475","1475","N/A","N/A","","No","No" 
